,cow_name,side_length_shoulderbone,side_f_girth,side_r_girth,rear_width,cow_pixels,sticker_pixels,weight
112,191_b4-2_183_F,979.1271623236688,483.001035195578,934.0535316565106,376.34027156285043,728814,8238,183
113,127_b4-4_144_F,1164.961801948888,533.0084427098693,1000.5683384956772,349.2806894175514,900121,14067,144
114,127_b4-4_144_F,1164.961801948888,533.0084427098693,1000.5683384956772,349.2806894175514,900121,14067,144
115,400_b4-1_199_F,1035.3303820520289,491.04378623499554,1009.3923914910396,356.3158711031548,794043,10266,199
116,456_b4-1_216_F,1067.1199557687974,481.06652346634974,1006.1436279180026,375.0333318519835,756651,7542,216
117,168_b4-2_160_F,1031.0601340368078,490.0,913.1976784902598,349.14323708186015,724669,9870,160
118,30_b4-1_98_M,923.961579287797,440.41003621625157,886.0022573334675,332.01355394019686,630581,9778,98
119,183_b4-2_192_F,851.5515251586365,423.010638164101,808.0,310.00645154577023,548857,6741,192
120,346_b4-3_187_F,999.4088252562111,440.41003621625157,843.1002312892577,340.07205118915607,654113,8382,187
121,310_b4-2_174_F,717.172224782862,358.235955761004,651.0192009457171,188.04254837669055,357631,3261,174
122,466_b4-1_222_F,884.3059425334651,402.0447736260229,836.6510622714825,321.155725466634,509164,5742,222
123,408_b4-4_197_F,1080.2268280319647,494.1983407499463,903.3188805731894,341.0131962256006,820038,9238,197
124,263_b4-1_123_F,1029.2273801254998,475.10525149697094,1024.0004882811336,313.0255580619576,738858,9890,123
125,224_b4-2_174_F,1097.390085612222,534.3744005844592,1034.4645958175659,310.00645154577023,838015,10135,174
126,224_b4-2_174_F,1097.390085612222,534.3744005844592,1034.4645958175659,310.00645154577023,838015,10135,174
127,199_b4-2_177_F,919.6939708403007,444.1125983351519,865.0468195421563,365.0493117374692,616287,6891,177
128,484_b4-4_231_F,1013.1663239567332,518.4255009159947,886.1269660720184,361.03462437832746,751271,6609,231
129,227_b4-2_146_F,959.1209517052581,440.5496566790173,875.0085713865893,330.21810973960834,624170,8114,146
130,99_b4-2_143_F,1045.9182568441952,494.68373735145167,1017.0594869524595,311.1301978272119,736794,12000,143
131,350_b4-4_186_F,1048.8817855220864,444.25330612163145,1002.5108478216083,416.0012019213406,711278,6977,186
132,20_b4-1_92_F,941.1870164850342,448.0546841625473,935.0005347592054,293.5523803344132,648439,9895,92
133,354_b4-3_188_F,1029.7960963219855,469.208908696329,931.0907581970729,260.06922155457,728131,10285,188
134,90_b4-2_158_F,1087.7950174550351,459.156835950419,1025.5637474091993,404.00495046471895,743750,11059,158
135,130_b4-1_133_F,1011.2576328512928,482.0041493597332,918.7056111725889,336.25139404915484,725756,9981,133
136,317_b4-1_179_F,878.709280706651,420.6292904684599,0.0,305.04098085339285,603920,7893,179
137,96_b4-1_122_M,1035.8860941242526,492.26009385283305,1047.0,347.09220676932523,841534,14002,122
138,43_b4-2_174_F,1153.2029309709544,505.0039603805103,962.0083159723724,322.02484376209236,818460,11343,174
139,63_b4-2_192_F,1107.630353502467,520.3124061561477,1082.892884822871,323.2228333518534,822732,11059,192
140,63_b4-2_192_F,1107.630353502467,520.3124061561477,1082.892884822871,323.2228333518534,822732,11059,192
141,408_b4-3_197_F,1120.443215874861,507.66622893393253,940.3595057210832,328.29864452964165,859429,9682,197
142,408_b4-3_197_F,1120.443215874861,507.66622893393253,940.3595057210832,328.29864452964165,859429,9682,197
